"English_name","Scientific_name","X3A_CODE"
"Ozark cavefish","Amblyopsis rosae","ABY"
"Swampfish","Chologaster cornuta","AYC"
"Spring cavefish","Forbesichthys agassizi","AFA"
"Alabama cavefish","Speoplatyrhinus poulsoni","TYP"
"Southern cavefish","Typhlichthys subterraneus","TYS"
"Argentinian silverside","Odontesthes bonariensis","BCB"
NA,"Chirostoma estor","KRE"
NA,"Chirostoma grandocule","KRG"
NA,"Chirostoma spp","KRW"
NA,"Basilichthys australis","BHL"
NA,"Basilichthys microlepidotus","BHP"
NA,"Poblana alchichica","PBH"
"Brook silverside","Labidesthes sicculus","LSU"
NA,"Bedotia geayi","BGY"
"Katrana","Rheocles alaotrensis","RCO"
NA,"Cairnsichthys rhombosomoides","YCR"
"Axelrod's rainbowfish","Chilatherina axelrodi","CTX"
"Red rainbowfish","Glossolepis incisus","GII"
"Threadfin rainbowfish","Iriatherina werneri","IRW"
"North New Guinea rainbowfish","Melanotaenia affinis","MLF"
NA,"Rhadinocentrus ornatus","RCN"
"Glass blue-eye","Kiunga ballochi","KUA"
"Popondetta blue-eye","Pseudomugil connieae","PDQ"
"Redfinned blue-eye","Scaturiginichthys vermeilipinnis","SGV"
"Blue eyes","Pseudomugilidae","PSD"
"Asian swamp eel","Monopterus albus","FLT"
"Obscure swamp eel","Ophisternon aenigmaticum","OFA"
"Marbled swamp eel","Synbranchus marmoratus","SXR"
NA,"Afromastacembelus flavidus","AVF"
NA,"Caecomastacembelus aviceps","CAV"
"Lesser spiny eel","Macrognathus aculeatus","MRE"
NA,"Mastacembelus dayi","MDY"
"Fire eel","Mastacembelus erythrotaenia","MWY"
NA,"Mastacembelus cunningtoni","JCB"
NA,"Mastacembelus sexdecimspinus","AEX"
"Zig-zag eel","Mastacembelus armatus","ZMB"
"Tire track eel","Mastacembelus favus","ZMF"
"Burmese spineless eel","Chaudhuria caudata","CDW"
NA,"Chendol keelini","CED"
NA,"Nagaichthys filipes","NGF"
NA,"Bihunichthys monopteroides","BIU"
NA,"Pillaia khajuriai","PKJ"
"Tanganyika lates","Lates angustifrons","LTG"
"Albert lates","Lates macrophthalmus","LTO"
"Bigeye lates","Lates mariae","LSM"
"Forktail lates","Lates microlepis","LSL"
"Nile perch","Lates niloticus","NIP"
"Sleek lates","Lates stappersii","IRQ"
"Freshwater perches nei","Lates spp","PEX"
"Tiger grunter","Amniataba affinis","MNF"
"Greenway's grunter","Hannia greenwayi","HNW"
"Black bream","Hephaestus fuliginosus","HFG"
"Fortescue grunter","Leiopotherapon aheneus","LTH"
"Lorentz's grunter","Pingalla lorentzi","PGX"
"Small-headed grunter","Scortum parviceps","SKV"
"Barcoo grunter","Scortum barcoo","QOF"
"Kimberley grunter","Syncomistes kimberleyensis","SKY"
"Jamur Lake grunter","Variichthys jamoerensis","VAJ"
"Silver perch","Bidyanus bidyanus","BYB"
"White bass","Morone chrysops","ROY"
"Yellow bass","Morone mississippiensis","YBW"
"Striped bass, hybrid","Morone chrysops x M. saxatilis","SBH"
"Nightfish","Bostockia porosa","BKP"
NA,"Coreoperca kawamebari","OKW"
"Western pygmy perch","Edelia vittata","EDV"
NA,"Gadopsis bispinosus","GDU"
"Balston's pygmy perch","Nannatherina balstoni","NHB"
"Oxleyan pygmy perch","Nannoperca oxleyana","NPO"
NA,"Percichthys melanops","ERE"
"Creole perch","Percichthys trucha","ERT"
"Murray cod","Maccullochella peelii","MCP"
"Trout cod","Maccullochella macquariensis","MLQ"
"Eastern freshwater cod","Maccullochella ikei","MLK"
NA,"Percilia gillissi","PJW"
"Mandarin fish","Siniperca chuatsi","SIN"
"Big-eye mandarin fish","Siniperca knerii","WSG"
"Leopard mandarin fish","Siniperca scherzeri","ZSS"
"Macquarie perch","Macquaria australasica","MQA"
"Golden perch","Macquaria ambigua","MCA"
"Australian bass","Macquaria novemaculeata","MXQ"
"Mud sunfish","Acantharchus pomotis","AKP"
"Flier","Centrarchus macropterus","EUM"
"Pumpkinseed","Lepomis gibbosus","LEJ"
"Bluegill","Lepomis macrochirus","LMM"
"Smallmouth bass","Micropterus dolomieu","MPJ"
"Largemouth black bass","Micropterus salmoides","MPS"
"Spotted bass","Micropterus punctulatus","MTT"
"Rock bass","Ambloplites rupestris","AKR"
"White crappie","Pomoxis annularis","PXR"
"Black crappie","Pomoxis nigromaculatus","PXG"
"Sacramento perch","Archoplites interruptus","AKI"
"Blackbanded sunfish","Enneacanthus chaetodon","EHC"
"European perch","Perca fluviatilis","FPE"
"American yellow perch","Perca flavescens","FPY"
"Balkhash perch","Perca schrenkii","PKI"
"Western sand darter","Ammocrypta clara","AYP"
"Eastern sand darter","Ammocrypta pellucida","AYU"
"Asprete","Romanichthys valsanicola","ROV"
"Percarina","Percarina demidoffi","PND"
"Ruffe","Gymnocephalus cernua","ACC"
"Donets ruffe","Gymnocephalus acerinus","GYU"
"Danube ruffe","Gymnocephalus baloni","GYL"
"Schraetzer","Gymnocephalus schraetser","GYZ"
"Greenside darter","Etheostoma blennioides","EHE"
"Rainbow darter","Etheostoma caeruleum","EHA"
"Fantail darter","Etheostoma flabellare","EHR"
"Chihuahua darter","Etheostoma pottsii","EHP"
"Logperch","Percina caprodes","PJB"
"Zingel","Zingel zingel","ZIZ"
"Walleye","Sander vitreus","STV"
"Volga pikeperch","Sander volgensis","SAV"
"Pike-perch","Sander lucioperca","FPP"
"Sauger","Sander canadensis","SZC"
"Walleyes nei","Sander spp","STP"
NA,"Percidae","QEU"
"Freshwater drum","Aplodinotus grunniens","AGR"
"Black curbinata","Plagioscion auratus","LGT"
"South American silver croaker","Plagioscion squamosissimus","LGQ"
"Pacora","Plagioscion surinamensis","LGN"
"Spotted archerfish","Toxotes chatareus","TXC"
"Banded archerfish","Toxotes jaculatrix","TXJ"
"Smallscale archerfish","Toxotes microlepis","TXM"
"Fourspine leaffish","Afronandus sheljuzhkoi","AFZ"
"Malayan leaffish","Pristolepis fasciata","RIS"
"Gangetic leaffish","Nandus nandus","NAA"
"African leaffish","Polycentropsis abbreviata","OLE"
"Badis","Badis badis","BDB"
"Amazon leaffish","Monocirrhus polyacanthus","MNN"
NA,"Coius campbelli","IUA"
"Throat-spine gudgeon","Belobranchus belobranchus","BNJ"
"Barred gudgeon","Bostrychus zonatus","BCZ"
"Four-eyed sleeper","Bostrychus sinensis","BWS"
NA,"Bostrychus africanus","OUY"
NA,"Bunaka pinguis","UKP"
"Duckbill sleeper","Butis butis","UTB"
"Tailface sleeper","Calumia godeffroyi","UMG"
"Pacific fat sleeper","Dormitator latifrons","DOM"
"Fat sleeper","Dormitator maculatus","DMM"
NA,"Dormitator lebretonis","DOH"
NA,"Eleotris senegalensis","DZZ"
"Dusky sleeper","Eleotris fusca","EOF"
"Spotted sleeper","Eleotris picta","EOP"
NA,"Eleotris vittata","EOV"
"Emerald sleeper","Erotelis smaragdus","EOS"
"Graham's gudgeon","Grahamichthys radiata","GHR"
NA,"Guavina guavina","GUV"
NA,"Hypseleotris agilis","HYG"
"Slender gudgeon","Hypseleotris ejuncida","HYJ"
NA,"Incara multisquamatus","INM"
"Mitchell gudgeon","Kimberleyeleotris hutchinsi","KIH"
NA,"Kribia kribensis","KRK"
"Cave gudgeon","Milyeringa veritas","MEV"
NA,"Odonteleotris macrodon","ODC"
"Snakehead gudgeon","Ophieleotris aporos","OFP"
NA,"Ophiocara macrolepidota","OFM"
NA,"Philypnodon grandiceps","FLR"
"Mud sleeper","Prionobutis koilomatodon","NBK"
NA,"Ratsirakia legendrei","RKL"
"Peacock gudgeon","Tateurndina ocellicauda","TAO"
NA,"Typhleotris madagascariensis","TFA"
"Bigmouth sleeper","Gobiomorus dormitor","GBD"
"Upland bully","Gobiomorphus breviceps","GBV"
"Marble goby","Oxyeleotris marmorata","GBM"
"Fimbriate gudgeon","Oxyeleotris fimbriata","XYF"
"Sleepy cod","Oxyeleotris lineolata","YBD"
NA,"Mogurnda aiwasoensis","MGJ"
"Gudgeons, sleepers nei","Eleotridae","FGB"
"Blotchcheek goby","Ctenogobius fasciatus","TFT"
NA,"Ctenogobius lepturus","QZG"
NA,"Acanthogobius ommaturus","ACG"
NA,"Awaous aeneofuscus","AWA"
"West African freshwater goby","Awaous lateristriga","AWQ"
"Sleepy goby","Glossogobius biocellatus","GBI"
"Tank goby","Glossogobius giuris","GOU"
NA,"Gobioides africanus","GSZ"
NA,"Gobioides sagitta","GSW"
NA,"Pseudapocryptes borneensis","EDO"
NA,"Pseudapocryptes elongatus","DWB"
NA,"Knipowitschia caucasica","KNC"
"Blackfin goby","Gobionellus atripinnis","GBP"
NA,"Gobionellus occidentalis","GDZ"
"Biringo","Chaenogobius castaneus","HGS"
NA,"Oxyurichthys formosanus","OUF"
"Frogface goby","Oxyurichthys papuensis","NYW"
NA,"Oxyurichthys tentacularis","NYT"
"Eyebrow goby","Oxyurichthys ophthalmonema","NYI"
NA,"Eutaeniichthys gilli","ESG"
NA,"Neogobius bathybius","NBB"
"Round goby","Neogobius melanostomus","NBU"
"Amur goby","Rhinogobius brunneus","RGB"
NA,"Rhinogobius flumineus","RGF"
"Naked goby","Gobiosoma bosc","GSI"
NA,"Stigmatogobius borneensis","IGO"
NA,"Luciogobius albus","LKB"
NA,"Callogobius amikami","LKM"
"Doublebar goby","Callogobius bifasciatus","IHP"
"Feather goby","Callogobius plumatus","IHQ"
NA,"Brachyamblyopus anotus","BJN"
NA,"Brachyamblyopus brachysoma","FYJ"
NA,"Brachygobius aggregatus","YGA"
NA,"Tridentiger barbatus","TDB"
NA,"Calamiana aliceae","MJL"
NA,"Caragobioides geomys","GBG"
NA,"Caspiosoma caspium","SJP"
NA,"Chiramenu fluviatilis","HRV"
NA,"Chlamydogobius gloveri","HBV"
NA,"Chonophorus macrorhynchus","HFP"
NA,"Cristatogobius nonatoae","RGN"
NA,"Drombus globiceps","DBG"
NA,"Ebomegobius goodi","EBG"
NA,"Economidichthys pygmaeus","EOY"
"Blackthroat goby","Favonigobius melanobranchus","FVA"
NA,"Gnatholepis anjerensis","GTC"
NA,"Gobiopterus brachypterus","GOY"
NA,"Hemigobius bleekeri","HGE"
"Bumblebee fish","Hypogymnogobius xanthozona","HYX"
NA,"Hyrcanogobius bergi","HGG"
NA,"Istigobius campbelli","ISM"
"Decorated goby","Istigobius decoratus","IQS"
"Ornate goby","Istigobius ornatus","IQT"
NA,"Lentipes armatus","GTU"
NA,"Mangarinus waterousi","MNW"
NA,"Mistichthys luzonensis","MLZ"
NA,"Mugilogobius abei","MBE"
"Sharptail goby","Oligolepis acutipennis","OGU"
NA,"Padogobius bonelli","GPO"
NA,"Pandaka lidwilli","PKW"
NA,"Parawaous megacephalus","PWM"
"Tubenose goby","Proterorhinus marmoratus","RSO"
NA,"Psammogobius knysnaensis","SGK"
NA,"Pseudogobiopsis campbellianus","EDC"
NA,"Pseudogobius avicennia","EDA"
NA,"Pseudotrypauchen multiradiatus","EDM"
NA,"Redigobius amblyrhynchus","RIY"
NA,"Schismatogobius ampluvinculus","HBA"
NA,"Sicydium brevifile","IYV"
NA,"Sicydium spp","IXC"
NA,"Sicyopterus caeruleus","IYA"
"Bichique","Sicyopterus lagocephalus","IYL"
"Stimpson's goby","Sicyopterus stimpsoni","IYS"
NA,"Sicyopus auxilimentus","IYX"
NA,"Silhouettea dotui","IHD"
"Beaufort's goby","Stenogobius beauforti","EGB"
NA,"Stiphodon allen","IFA"
"Eel worm goby","Taenioides anguillaris","TAG"
NA,"Tamanka cagayanensis","TKC"
"Lord's goby","Tasmanogobius lordi","TMO"
NA,"Trypauchenichthys sumatrensis","TKS"
NA,"Tukugobius philippinus","TKP"
NA,"Weberogobius amadi","WED"
"Slender mudskipper","Zappa confluentus","ZPC"
"Freshwater gobies nei","Gobiidae","FGX"
"Loach goby","Rhyacichthys aspro","RYR"
NA,"Odontobutis obscura","OOU"
NA,"Odontobutis potamophila","OWB"
"Chinese sleeper","Perccottus glenii","ERL"
"Climbing perch","Anabas testudineus","FPC"
"Tailspot ctenopoma","Ctenopoma kingsleyae","TKY"
NA,"Ctenopoma petherici","TEN"
"Rocky kurper","Sandelia bainsii","NDI"
"Giant gourami","Osphronemus goramy","FGG"
"Elephant ear gourami","Osphronemus exodon","EZG"
"Snakeskin gourami","Trichopodus pectoralis","FGS"
"Malay combtail","Belontia hasselti","EOH"
"Banded gourami","Colisa fasciatus","OAF"
"Frail gourami","Ctenops nobilis","TSB"
"Siamese fighting fish","Betta splendens","BDS"
"Spotted gourami","Malpulutta kretseri","MTK"
"Eyespot gourami","Parasphaerichthys ocellatus","FCO"
NA,"Parosphromenus allani","FMA"
"Spiketail paradisefish","Pseudosphromenus cupanus","FMC"
NA,"Sphaerichthys acrostoma","FRR"
"Three spot gourami","Trichogaster trichopterus","TGH"
"Banded gourami","Trichogaster fasciata","GWI"
"Gouramis nei","Trichogaster spp","GOM"
"Pygmy gourami","Trichopsis pumila","TKL"
"Roundtail paradisefish","Macropodus chinensis","MRH"
"Kissing gourami","Helostoma temminckii","FGO"
NA,"Amarsipus carlsbergi","IUC"
"Pikehead","Luciocephalus pulcher","LFP"
"Red triplefin","Helcogramma steinitzi","FVB"
"Nurseryfish","Kurtus gulliveri","KUL"
"Snakehead","Channa argus","CNA"
"Spotted snakehead","Channa punctata","CNP"
"Striped snakehead","Channa striata","FSS"
"Indonesian snakehead","Channa micropeltes","FIS"
"Barca snakehead","Channa barca","HBC"
"Blotched snakehead","Channa maculata","KNM"
"Great snakehead","Channa marulius","KNA"
NA,"Channa lucius","NQN"
"Small snakehead","Channa asiatica","FHA"
"Snakeheads(=Murrels) nei","Channa spp","FSN"
NA,"Channa maculata x C. argus","GXC"
NA,"Parachanna africana","RKF"
"African obscure snakehead","Parachanna obscura","QFW"
"Parachanna snakeheads nei","Parachanna spp","QRX"
"Carolina pygmy sunfish","Elassoma boehlkei","ESK"
"Sakhalin sculpin","Cottus amblystomopsis","CVA"
"Cherskii's sculpin","Cottus czerskii","CZK"
"Bullhead","Cottus gobio","GWO"
"Alpine bullhead","Cottus poecilopus","QPO"
NA,"Mesocottus haitej","MEH"
"Bighead sculpin","Batrachocottus baicalensis","BTJ"
"Stone sculpin","Paracottus knerii","PCK"
"Baikal yellowfin","Cottocomephorus grewingkii","CWK"
"Big Baikal oilfish","Comephorus baikalensis","CFK"
NA,"Abyssocottus elochini","AEZ"
NA,"Asprocottus abyssalis","AQY"
"Short-headed sculpin","Cottinella boulengeri","CEB"
NA,"Limnocottus bergianus","LMI"
NA,"Procottus gurwici","PWC"
"Freshwater fishes nei","Actinopterygii","FRF"
"Sturgeon","Acipenser sturio","APU"
"Danube sturgeon(=Osetr)","Acipenser gueldenstaedtii","APG"
"Adriatic sturgeon","Acipenser naccarii","AAA"
"Sterlet sturgeon","Acipenser ruthenus","APR"
"Starry sturgeon","Acipenser stellatus","APE"
"Fringebarbel sturgeon","Acipenser nudiventris","AAN"
"Lake sturgeon","Acipenser fulvescens","AAF"
"Atlantic sturgeon","Acipenser oxyrinchus","AAO"
"White sturgeon","Acipenser transmontanus","APN"
"Shortnose sturgeon","Acipenser brevirostrum","AAY"
"Siberian sturgeon","Acipenser baerii","APB"
"Amur sturgeon","Acipenser schrenckii","AAH"
"Yangtze sturgeon","Acipenser dabryanus","AAD"
"Green sturgeon","Acipenser medirostris","AAM"
"Sakhalin sturgeon","Acipenser mikadoi","AAK"
"Persian sturgeon","Acipenser persicus","AAP"
"Chinese sturgeon","Acipenser sinensis","AAI"
"Japanese sturgeon","Acipenser multiscutatus","AAU"
"Shovelnose sturgeon","Scaphirhynchus platorynchus","PHF"
"Pallid sturgeon","Scaphirhynchus albus","PHS"
"Alabama sturgeon","Scaphirhynchus suttkusi","QAN"
"Beluga","Huso huso","HUH"
"Kaluga","Huso dauricus","AHM"
"Dwarf sturgeon","Pseudoscaphirhynchus hermanni","PSN"
"Amu Darya sturgeon","Pseudoscaphirhynchus kaufmanni","PSF"
"Syr Darya sturgeon","Pseudoscaphirhynchus fedtschenkoi","QAM"
"Sturgeons nei","Acipenseridae","STU"
"Mississippi paddlefish","Polyodon spathula","PAM"
"Chinese swordfish","Psephurus gladius","AHG"
"European eel","Anguilla anguilla","ELE"
"Indian mottled eel","Anguilla bengalensis","AAG"
"Indonesian shortfin eel","Anguilla bicolor","AAT"
"Japanese eel","Anguilla japonica","ELJ"
"American eel","Anguilla rostrata","ELA"
"Short-finned eel","Anguilla australis","ELU"
"Speckled longfin eel","Anguilla reinhardtii","AAR"
"African longfin eel","Anguilla mossambica","AAJ"
"Giant mottled eel","Anguilla marmorata","AAL"
"New Zealand longfin eel","Anguilla dieffenbachii","AAQ"
"Mottled eel","Anguilla nebulosa","EWN"
"River eels nei","Anguilla spp","ELX"
NA,"Acantholingua ohridana","SAJ"
"Atlantic salmon","Salmo salar","SAL"
"Sea trout","Salmo trutta","TRS"
NA,"Salmo carpio","SFC"
NA,"Salmo ferox","SFX"
NA,"Salmo fibreni","SFF"
"Sevan trout","Salmo ischchan","SFI"
NA,"Salmo marmoratus","SFM"
"Ohrid trout","Salmo letnica","QFP"
NA,"Salmo ohridanus","QFS"
"Trouts nei","Salmo spp","TRO"
"Long-finned charr","Salvethymus svetovidovi","SVS"
"Golden trout","Oncorhynchus aguabonita","ONA"
"Pink(=Humpback) salmon","Oncorhynchus gorbuscha","PIN"
"Chum(=Keta=Dog) salmon","Oncorhynchus keta","CHU"
"Cutthroat trout","Oncorhynchus clarkii","ONC"
"Masu(=Cherry) salmon","Oncorhynchus masou","CHE"
"Sockeye(=Red) salmon","Oncorhynchus nerka","SOC"
"Chinook(=Spring=King) salmon","Oncorhynchus tshawytscha","CHI"
"Coho(=Silver) salmon","Oncorhynchus kisutch","COH"
"Rainbow trout","Oncorhynchus mykiss","TRR"
"Apache trout","Oncorhynchus apache","ONH"
"Mexican golden trout","Oncorhynchus chrysogaster","ONY"
"Gila trout","Oncorhynchus gilae","ONG"
NA,"Oncorhynchus rhodurus","ONR"
"Pacific salmons nei","Oncorhynchus spp","ORC"
NA,"Salvelinus willoughbii","SWI"
"Brook trout","Salvelinus fontinalis","SVF"
NA,"Salvelinus leucomaenis","SLE"
"Arctic char","Salvelinus alpinus","ACH"
"Dolly varden","Salvelinus malma","VAR"
"Lake trout(=Char)","Salvelinus namaycush","LAT"
"Bull trout","Salvelinus confluentus","SVO"
"Neiva","Salvelinus neiva","SVN"
NA,"Salvelinus profundus","SVP"
"Lake charr","Salvelinus umbla","UWB"
"Chars nei","Salvelinus spp","CHR"
"Adriatic trout","Salmothymus obtusirostris","SOB"
NA,"Hucho ishikawae","HUI"
"Huchen","Hucho hucho","HUC"
"Japanese huchen","Hucho perryi","HUP"
"Taimen","Hucho taimen","HZU"
"Lenok","Brachymystax lenok","SBE"
"Salmonids nei","Salmonidae","SLZ"
"Grayling","Thymallus thymallus","TLV"
"Mongolian grayling","Thymallus brevirostris","TYE"
"Arctic grayling","Thymallus arcticus","TLA"
"Ayu sweetfish","Plecoglossus altivelis","PCA"
"Whitebait smelt","Allosmerus elongatus","OAE"
"European smelt","Osmerus eperlanus","SME"
"Rainbow smelt","Osmerus mordax","SMR"
"Pond smelt","Hypomesus olidus","PSM"
"Surf smelt","Hypomesus pretiosus","SUS"
"Japanese smelt","Hypomesus nipponensis","HVJ"
"Eulachon","Thaleichthys pacificus","EUL"
"Longfin smelt","Spirinchus thaleichthys","OSY"
"Smelts nei","Osmerus spp, Hypomesus spp","SMX"
NA,"Neosalanx jordani","SNJ"
"Chinese icefish","Neosalanx tangkahkeii","XHK"
"Clearhead icefish","Protosalanx hyalocranius","PRS"
NA,"Salanx ariakensis","SNN"
"Chinese noodlefish","Salanx chinensis","XSC"
NA,"Salangichthys ishikawae","SNH"
"Japanese icefish","Salangichthys microdon","SZM"
"Icefishes nei","Salangidae","ISZ"
"Australian grayling","Prototroctes maraena","RPE"
"Stokell's smelt","Stokellia anisodon","SKN"
"Cucumberfish","Retropinna retropinna","RRR"
"Vendace","Coregonus albula","FVE"
"European whitefish","Coregonus lavaretus","PLN"
"Houting","Coregonus oxyrinchus","HOU"
NA,"Coregonus fera","CIE"
NA,"Coregonus hiemalis","CIH"
"Irish pollan","Coregonus pollan","CIP"
NA,"Coregonus wartmanni","CIG"
NA,"Coregonus macrophthalmus","CIR"
"Lake(=Common) whitefish","Coregonus clupeaformis","WHL"
"Lake cisco","Coregonus artedi","CIS"
"Arctic cisco","Coregonus autumnalis","CIA"
"Khadary-whitefish","Coregonus chadary","CIC"
"Bloater","Coregonus hoyi","CIY"
"Kiyi","Coregonus kiyi","CIK"
"Muksun","Coregonus muksun","CIN"
"Broad whitefish","Coregonus nasus","CIQ"
NA,"Coregonus nilssoni","CII"
"Peled","Coregonus peled","CIJ"
"Shortnose cisco","Coregonus reighardi","CIZ"
"Sardine cisco","Coregonus sardinella","CIW"
"Tugun","Coregonus tugun","CIU"
"Valaam whitefish","Coregonus widegreni","CIB"
"Amur whitefish","Coregonus ussuriensis","UWS"
"Maraena whitefish","Coregonus maraena","CZZ"
NA,"Coregonus megalops","FBI"
"Whitefishes nei","Coregonus spp","WHF"
"Sheefish","Stenodus leucichthys","SDL"
"Pygmy whitefish","Prosopium coulterii","PCU"
"Round whitefish","Prosopium cylindraceum","PCY"
"Mountain whitefish","Prosopium williamsoni","PWI"
"Dwarf pencilfish","Lepidogalaxias salamandroides","LLA"
NA,"Aplochiton zebra","GAV"
NA,"Brachygalaxias bullocki","GBB"
"Koaro","Galaxias brevipinnis","GGB"
"Tasmanian mudfish","Galaxias cleaveri","GGC"
"Banded kokopu","Galaxias fasciatus","GGF"
"Inanga","Galaxias maculatus","GGM"
"Shortjaw kokopu","Galaxias postvectis","GGP"
"Common river galaxias","Galaxias vulgaris","GGV"
"Cape galaxias","Galaxias zebratus","GGZ"
"Tasmanian whitebait","Lovettia sealii","GLL"
"Canterbury mudfish","Neochanna burrowsius","GNB"
"Black mudfish","Neochanna diversus","GND"
"Shannon galaxias","Paragalaxias dissimilis","GPU"
"Salmonoids nei","Salmonoidei","SLX"
"Caspian shad","Alosa caspia","CUI"
"Pontic shad","Alosa immaculata","SHC"
"American shad","Alosa sapidissima","SHA"
"Allis shad","Alosa alosa","ASD"
"Twaite shad","Alosa fallax","TSD"
"Alewife","Alosa pseudoharengus","ALE"
"Blueback shad","Alosa aestivalis","BBH"
"Hickory shad","Alosa mediocris","SHH"
"Caspian marine shad","Alosa brashnikovi","CUK"
"Alabama shad","Alosa alabamae","CUA"
"Caspian anadromous shad","Alosa kessleri","CUE"
"Black Sea shad","Alosa maeotica","SHE"
"Saposhnikovi shad","Alosa saposhnikovi","CUV"
"Agrakhan shad","Alosa sphaerocephala","CUH"
"Shads nei","Alosa spp","SHZ"
"Allis and twaite shads","Alosa alosa, A. fallax","SHD"
"Kura shad","Caspialosa curensis","CKT"
"Caspian shads","Caspialosa spp","ASP"
"American gizzard shad","Dorosoma cepedianum","SHG"
"Threadfin shad","Dorosoma petenense","CDA"
"Pacific gizzard shad","Dorosoma smithi","DSY"
"Gizzard shad nei","Dorosoma spp","DQX"
"Chacunda gizzard shad","Anodontostoma chacunda","CHG"
"Ganges River gizzard shad","Gonialosa manmina","CGI"
"Burmese river gizzard shad","Gonialosa modesta","CGD"
"Kelee shad","Hilsa kelee","HIX"
"Hilsa shad","Tenualosa ilisha","HIL"
"Laotian shad","Tenualosa thibaudeaui","THT"
"Reeves shad","Tenualosa reevesii","REE"
"Toli shad","Tenualosa toli","TOL"
"Longtail shad","Tenualosa macrura","TWN"
"Bloch's gizzard shad","Nematalosa nasus","CNS"
"Western Pacific gizzard shad","Nematalosa come","NCO"
"Australian river gizzard shad","Nematalosa erebi","CNE"
"Japanese gizzard shad","Nematalosa japonica","CNJ"
"Arabian gizzard shad","Nematalosa arabica","DNB"
NA,"Nematalosa persara","DNH"
NA,"Nematalosa resticularia","DNN"
"Indian river shad","Gudusia chapra","CGH"
"Chinese gizzard shad","Clupanodon thrissa","DAS"
"Black and Caspian Sea sprat","Clupeonella cultriventris","CLA"
"Anchovy sprat","Clupeonella engrauliformis","CLE"
"Southern Caspian sprat","Clupeonella grimmi","CLG"
"Black-Caspian Sea sprats nei","Clupeonella spp","CWA"
"Dotted gizzard shad","Konosirus punctatus","DOD"
"Gilchrist's round herring","Gilchristella aestuarius","CGR"
"River Plate sprat","Platanichthys platana","PLP"
"Roundbelly pellonuline","Laeviscutella dekimpei","CDK"
"Littlefin anchovy","Papuengraulis micropinna","EPM"
"Broadband anchovy","Anchoviella lepidentostole","EVL"
"Japanese grenadier anchovy","Coilia nasus","ECA"
"Bates' sabretooth anchovy","Lycengraulis batesii","ELB"
"Atlantic sabretooth anchovy","Lycengraulis grossidens","ANR"
"Sabretooth anchovys nei","Lycengraulis spp","EZW"
"Sabretoothed thryssa","Lycothrissa crocodilus","ELO"
"Dusky-hairfin anchovy","Setipinna melanochir","ESM"
"Common hairfin anchovy","Setipinna tenuifilis","ESU"
"New Guinea thryssa","Thryssa scratchleyi","EYS"
"Wingfin anchovy","Pterengraulis atherinoides","EPH"
"Bigeye ilisha","Ilisha megaloptera","PIM"
"Indian ilisha","Ilisha melastoma","PIE"
"Elongate ilisha","Ilisha elongata","EIL"
"Coromandel ilisha","Ilisha filigera","PIF"
"Javan ilisha","Ilisha pristigastroides","PIP"
"Pacific ilisha","Ilisha furthii","PIU"
"West African ilisha","Ilisha africana","ILI"
"Lobejaw ilisha","Ilisha sirishai","ILK"
NA,"Ilisha compressa","ILO"
"Yellowfin river pellona","Pellona flavipinnis","PEQ"
"Indian pellona","Pellona ditchela","PEO"
"American coastal pellona","Pellona harroweri","QEP"
"Amazon pellona","Pellona castelnaeana","QPA"
"Yellowfin herring","Pliosteostoma lutipinnis","PEM"
"Tropical longfin herring","Neoopisthopterus tropicus","PNR"
"Tardoore","Opisthopterus tardoore","PHT"
"Dove's longfin herring","Opisthopterus dovii","FKC"
"Guiana longfin herring","Odontognathus mucronatus","PNA"
"Amazon hatchet herring","Pristigaster cayana","PRN"
"Raconda","Raconda russeliana","PRU"
"Diadromous clupeoids nei","Clupeoidei","DCX"
"Sea lamprey","Petromyzon marinus","LAU"
"River lamprey","Lampetra fluviatilis","LAR"
"Least brook lamprey","Lampetra aepyptera","IDK"
"Western American river lamprey","Lampetra ayresii","IDL"
"European brook lamprey","Lampetra planeri","IDN"
"Western brook lamprey","Lampetra richardsoni","IDO"
"Turkish brook lamprey","Lampetra lanceolata","IKQ"
"Pacific brook lamprey","Lampetra pacifica","IKR"
"Silver lamprey","Ichthyomyzon unicuspis","LAY"
"Ohio lamprey","Ichthyomyzon bdellium","IDE"
"Chestnut lamprey","Ichthyomyzon castaneus","IDG"
"Northern brook lamprey","Ichthyomyzon fossor","IDH"
"Southern brook lamprey","Ichthyomyzon gagei","IDI"
"Mountain brook lamprey","Ichthyomyzon greeleyi","IDJ"
"Ukrainian brook lamprey","Eudontomyzon mariae","LAF"
"Carpathian lamprey","Eudontomyzon danfordi","ICJ"
NA,"Eudontomyzon graecus","IKG"
"Greek brook lamprey","Eudontomyzon hellenicus","IKJ"
"Korean lamprey","Eudontomyzon morii","IKL"
"Caspian lamprey","Caspiomyzon wagneri","LAW"
"Arctic lamprey","Lethenteron camtschaticum","LSZ"
"Siberian lamprey","Lethenteron kessleri","IDQ"
"Western Transcaucasian lamprey","Lethenteron ninae","IDT"
"Far Eastern brook lamprey","Lethenteron reissneri","IDU"
"Lombardy brook lamprey","Lethenteron zanandreai","IDV"
"Alaskan brook lamprey","Lethenteron alaskense","IKT"
"American brook lamprey","Lethenteron appendix","IKU"
"Pacific lamprey","Entosphenus tridentatus","LAO"
"Northern California lamprey","Entosphenus folletti","IJX"
