"StockDatabaseID","StockKey","StockKeyLabel","StockKeyDescription","PreviousStockKey","PreviousStockKeyLabel","ActiveYear","SpeciesScientificName","SpeciesCommonName","EcoRegion","ExpertGroup","ExpertGroupDescription","AdviceDraftingGroup","AdviceDraftingGroupDescription","DataCategory","YearOfLastAssessment","AssessmentFrequency","YearOfNextAssessment","AssessmentType","AdviceReleaseDate","AdviceCategory","AdviceType","UseOfDiscardsInAdvice","PABufferApplied","TrophicGuild","FisheriesGuild","SizeGuild","Published","GeneratedOn","SectionNumber","AssessmentKey","ModifiedDate"
2965,169170,"nep.fu.9","Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 9 (central North Sea, Moray Firth)",136610,"nep-9",2022,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","1",2021,1,2022,"Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data",NA,"FMSY Ranges","Catches","Assessment","NA","crustacean","Crustacean","crustacean",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.22",NA,"2021-11-16T09:47:48.36+01:00"
2966,169164,"nep.fu.34","Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 34 (central North Sea, Devil’s Hole)",137181,"nep-34",2022,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","4.14",2020,2,2022,"Data-limited approach for Nephrops",NA,"PA","Catches","Advice","Yes in year(s) 2018","crustacean","Crustacean","crustacean",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.16",NA,"2020-11-09T10:15:04.45+01:00"
2967,169177,"pra.27.1-2","Northern shrimp (Pandalus borealis) in subareas 1 and 2 (Northeast Arctic)",136615,"pan-barn",2022,"Pandalus borealis","Northern shrimp","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion","NIPAG","Joint NAFO/ICES Pandalus Assessment Working Group","ADGPAND","Pandalus Advice Drafting Group","1.6",2021,1,2022,"Bayesian fitting of a surplus-production model",NA,"MSY","Catches","Discarding is  considered  to be  negligible","NA","crustacean","Crustacean","shrimp",TRUE,"2022-11-01T12:32:17.67+01:00","3.3.7",NA,"2021-12-06T12:29:26.78+01:00"
2968,169253,"san.27.6a","Sandeel (Ammodytes spp.) in Division 6.a (West of Scotland)",136690,"san-scow",2022,"Ammodytes","Sandeel","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","6.3",2021,3,2024,"no assessment",NA,"PA","No advice","Not used","No","pelagic planktivore","Demersal","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","5.3.55",NA,"2022-10-25T11:27:01.877+01:00"
2969,169294,"tur.27.3a","Turbot (Scophthalmus maximus) in Division 3.a (Skagerrak and Kattegat)",137194,"tur-kask",2022,"Scophthalmus maximus","Turbot","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","2.11",2022,1,2023,"SpiCT",NA,"MSY","Catches","Topped up","NA","demersal piscivore","Benthic","large demersal",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.53",17064,"2022-10-25T11:23:46.81+01:00"
2970,169108,"had.27.46a20","Haddock (Melanogrammus aeglefinus) in Subarea 4, Division 6.a, and Subdivision 20  (North Sea, West of Scotland, Skagerrak) ",140789,"had-346a",2022,"Melanogrammus aeglefinus","Haddock","Celtic Seas Ecoregion, Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","1",2022,1,2023,"Age-structured model (TSA)",NA,"MSY","Catches","Assessment","NA","demersal piscivore","Demersal","large demersal",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.12",17356,"2022-06-30T08:42:42.913+01:00"
2971,169132,"lem.27.3a47d","Lemon sole (Microstomus kitt) in Subarea 4 and divisions 3.a and 7.d (North Sea, Skagerrak and Kattegat, eastern English Channel)",136570,"lem-nsea",2022,"Microstomus kitt","Lemon sole","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","2",2022,1,2023,"Method 2.2 Constant Harvest Rate",NA,"PA","Catches","topped up","NA","demersal benthivore","Benthic","medium demersal",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.11",17360,"2022-06-30T08:43:07.98+01:00"
2972,169151,"nep.fu.16","Norway lobster (Nephrops norvegicus) in divisions 7.b-c and 7.j-k, Functional Unit 16 (west and southwest of Ireland, Porcupine Bank)",136591,"nep-16",2022,"Nephrops norvegicus","Norway lobster","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGNEPH","Celtic Sea Nephrops, anglerfish and Rockall megrim Advice Drafting Group","1",2021,1,2022,"Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data",NA,"FMSY Ranges","Catches","not used","NA","crustacean","Crustacean","crustacean",TRUE,"2022-11-01T12:32:17.67+01:00","5.3.27",NA,"2021-11-11T15:20:00.807+01:00"
2973,169066,"boc.27.6-8","Boarfish (Capros aper) in subareas 6-8 (Celtic Seas, English Channel, and Bay of Biscay) ",136499,"boc-nea",2022,"Capros aper","Boarfish","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGWIDE","Working Group on Widely Distributed Stocks","ADGWIDE","Advice Drafting Group for Widely Distributed Stocks","3.2",2021,2,2023,"Exploratory Bayesian Schaefer surplus production model",NA,"PA","Catches","assessment","Yes in year(s) 2016, 2019","pelagic planktivore","Pelagic","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.10",NA,"2022-09-30T13:02:35.047+01:00"
2974,169231,"rju.27.9a","Undulate ray (Raja undulata) in Division 9.a (Atlantic Iberian waters)",140781,"rju-9a",2022,"Raja undulata","Undulate ray","Bay of Biscay and the Iberian Coast Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","6.9",2022,2,2024,"no assessment",NA,"PA","No directed fisheries","Not used","Yes in year(s) 2018","demersal omnivore","Elasmobranch","large rays",TRUE,"2022-11-01T12:32:17.67+01:00","7.3.31",17553,"2022-10-13T10:41:26.31+01:00"
2975,169285,"syc.27.8c9a","Lesser spotted dogfish (Scyliorhinus canicula) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters) ",136725,"syc-8c9a",2022,"Scyliorhinus canicula","Lesser-spotted dogfish","Bay of Biscay and the Iberian Coast Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","3.9",2021,2,2023,"Survey trends-based assessment",NA,"PA/Stock status only","Landings","Not used","No","demersal benthivore","Elasmobranch","large sharks",TRUE,"2022-11-01T12:32:17.67+01:00","7.3.38",NA,"2021-10-25T11:31:16.053+01:00"
2976,169222,"rjm.27.9a","Spotted ray (Raja montagui) in Division 9.a (Atlantic Iberian waters)",136659,"rjm-pore",2022,"Raja montagui","Spotted ray","Bay of Biscay and the Iberian Coast Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","3",2022,2,2024,"Trends from biomass index and length-based indicators",NA,"MSY","Landings","Not used","Yes in year(s) 2014, 2018","demersal benthivore","Elasmobranch","medium demersal",TRUE,"2022-11-01T12:32:17.67+01:00","7.3.25",17535,"2022-10-10T10:29:46.177+01:00"
2977,169226,"rjn.27.9a","Cuckoo ray (Leucoraja naevus) in Division 9.a (Atlantic Iberian waters)",136664,"rjn-pore",2022,"Leucoraja naevus","Cuckoo ray","Bay of Biscay and the Iberian Coast Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","3",2022,2,2024,"Trends from biomass index and length-based indicators",NA,"MSY","Landings","Not used","Yes in year(s) 2014","demersal omnivore","Elasmobranch","medium rays",TRUE,"2022-11-01T12:32:17.67+01:00","7.3.29",17534,"2022-09-30T14:15:10.237+01:00"
2978,169216,"rjh.27.9a","Blonde ray (Raja brachyura) in Division 9.a (Atlantic Iberian waters)",136653,"rjh-pore",2022,"Raja brachyura","Blonde ray","Bay of Biscay and the Iberian Coast Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","3",2022,2,2024,"Trend from biomass index and length-based indicators",NA,"MSY","Landings","Not used","Yes in year(s) 2014","demersal benthivore","Elasmobranch","large demersal",TRUE,"2022-11-01T12:32:17.67+01:00","7.3.24",17466,"2022-09-30T11:04:40.243+01:00"
2979,169207,"rjc.27.9a","Thornback ray (Raja clavata) in Division 9.a (Atlantic Iberian waters)",136646,"rjc-pore",2022,"Raja clavata","Thornback ray","Bay of Biscay and the Iberian Coast Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","3",2022,2,2024,"Trends from biomass index and length-based indicators",NA,"MSY","Landings","Not used","Yes in year(s) 2014","demersal benthivore","Elasmobranch","large demersal",TRUE,"2022-11-01T12:32:17.67+01:00","7.3.23",17547,"2022-10-10T10:26:12.433+01:00"
2980,169230,"rju.27.8c","Undulate ray (Raja undulata) in Division 8.c (Cantabrian Sea)",140780,"rju-8c",2022,"Raja undulata","Undulate ray","Bay of Biscay and the Iberian Coast Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","6.9",2022,2,2024,"no assessment",NA,"PA","No directed fisheries","Not used","No","demersal omnivore","Elasmobranch","large rays",TRUE,"2022-11-01T12:32:17.67+01:00","7.3.26",17552,"2022-10-13T10:16:07.817+01:00"
3178,169158,"nep.fu.2627","Norway lobster (Nephrops norvegicus) in Division 9.a, Functional Units 26-27 (Atlantic Iberian waters East, western Galicia, and northern Portugal)",136599,"nep-2627",2022,"Nephrops norvegicus","Norway lobster","Bay of Biscay and the Iberian Coast Ecoregion","WGBIE","Working Group for the Bay of Biscay and the Iberic Waters Ecoregion","ADGBBI","Bay of Biscay Advice Drafting Group","2.13",2022,1,2023,"SPiCT",NA,"MSY/PA","Catches","not used","NA","crustacean","Crustacean","crustacean",TRUE,"2022-11-01T12:32:17.67+01:00","7.3.10",17265,"2022-07-14T22:48:49.92+01:00"
2990,169159,"nep.fu.2829","Norway lobster (Nephrops norvegicus) in Division 9.a, Functional Units 28-29 (Atlantic Iberian waters East and southwestern and southern Portugal)",136600,"nep-2829",2022,"Nephrops norvegicus","Norway lobster","Bay of Biscay and the Iberian Coast Ecoregion","WGBIE","Working Group for the Bay of Biscay and the Iberic Waters Ecoregion","ADGBBI","Bay of Biscay Advice Drafting Group","3.2",2021,2,2023,"Trends from commercial CPUE",NA,"PA","Catches","not used","Yes in year(s) 2017, 2021","crustacean","Crustacean","crustacean",TRUE,"2022-11-01T12:32:17.67+01:00","7.3.20",NA,"2021-11-17T11:38:56.107+01:00"
2991,169295,"tur.27.4","Turbot (Scophthalmus maximus) in Subarea 4 (North Sea)",136731,"tur-nsea",2022,"Scophthalmus maximus","Turbot","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","1",2022,1,2023,"Age-based assessment indicative of trends (SAM)",NA,"MSY","Catches","Advice","NA","demersal piscivore","Benthic","large demersal",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.54",17033,"2022-06-30T08:46:12.993+01:00"
2992,169189,"ple.27.420","Plaice (Pleuronectes platessa) in Subarea 4 (North Sea) and Subdivision 20 (Skagerrak)",136629,"ple-nsea",2022,"Pleuronectes platessa","Plaice","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","1",2022,1,2023,"Age-structured model (AAP)",NA,"MSY","Catches","Assessment","NA","demersal benthivore","Benthic","large demersal",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.33",17483,"2022-06-30T08:43:36.15+01:00"
2993,169278,"sol.27.4","Sole (Solea solea) in Subarea 4 (North Sea)",136718,"sol-nsea",2022,"Solea solea","Sole","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","1",2022,1,2023,"Age-structured model (Aarts and Poos), statistical catch-at-age model with flexible selectivity functions to reconstruct historical discards",NA,"MSY","Catches","Assessment","NA","demersal benthivore","Benthic","medium demersal",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.49",17030,"2022-10-25T11:22:23.593+01:00"
3206,169303,"whg.27.7b-ce-k","Whiting (Merlangius merlangus) in divisions 7.b-c and 7.e-k (southern Celtic Seas and eastern English Channel)",136739,"whg-7e-k",2022,"Merlangius merlangus","Whiting","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGCS","Celtic Sea Advice Drafting Group","1",2022,1,2023,"Analytical age-based assessment (State-space fish stock assessment model; SAM) that uses catches in the model and the forecast",NA,"MSY","Catches","Assessment","NA","demersal piscivore","Demersal","large demersal",TRUE,"2022-11-01T12:32:17.67+01:00","5.3.68",17320,"2022-10-05T08:05:33.183+01:00"
2996,169233,"rng.27.5a10b12ac14b","Roundnose grenadier (Coryphaenoides rupestris) in Divisions 10.b and 12.c, and Subdivisions 12.a.1, 14.b.1, and 5.a.1 (Oceanic Northeast Atlantic and northern Reykjanes Ridge)",136668,"rng-1012",2022,"Coryphaenoides rupestris","Roundnose grenadier","Iceland Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group","5.2",2019,4,2023,"no assessment",NA,"PA","Landings","Topped up","Yes in year(s) 2015, 2019","pelagic crustaceavore","Demersal","large bathypelagic",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.34",NA,"2022-09-30T12:43:41.633+01:00"
3203,169126,"hke.27.3a46-8abd","Hake (Merluccius merluccius) in subareas 4, 6, and 7, and divisions 3.a, 8.a-b, and 8.d, Northern stock (Greater North Sea, Celtic Seas, and the northern Bay of Biscay)",136564,"hke-nrtn",2022,"Merluccius merluccius","Hake","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGBIE","Working Group for the Bay of Biscay and the Iberic Waters Ecoregion","ADGBBI","Bay of Biscay Advice Drafting Group","1",2022,1,2023,"Age- and length-structured model (SS3) that uses landings and some discards in the model",NA,"MSY","Catches","used in assessment and forecast","NA","demersal piscivore","Demersal","medium demersal",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.21",17380,"2022-07-14T22:57:56.097+01:00"
3118,169083,"cod.27.5a","Cod (Gadus morhua) in Division 5.a (Iceland grounds)",136517,"cod-iceg",2022,"Gadus morhua","Cod","Greenland Sea Ecoregion, Iceland Sea Ecoregion","NWWG","North-Western Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2022,1,2023,"Age-structured model, forward-based statistical catch-at-age model that is implemented in the AD Model Builder, using catches in the model and in the forecast",NA,"MP","Catches","not used","NA","demersal piscivore","Demersal","large benthopelagic",TRUE,"2022-11-01T12:32:17.67+01:00","2.3.2",17336,"2022-07-07T11:38:38.557+01:00"
3119,169198,"rhg.27.nea","Roughhead grenadier (Macrourus berglax) in subareas 5-8, 10, 12 and 14 (Northeast Atlantic and Arctic Ocean)",149799,"rhg-nea",2022,"Macrourus berglax","Roughhead grenadier","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group","6.3",2020,5,2025,"no assessment",NA,"PA","No directed fisheries","Not used","No","na","Demersal","na",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.32",NA,"2022-09-30T12:42:23.697+01:00"
3191,169302,"whg.27.47d","Whiting (Merlangius merlangus) in Subarea 4 and Division 7.d (North Sea and eastern English Channel)",136738,"whg-47d",2022,"Merlangius merlangus","Whiting","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","1",2022,1,2023,"Age-structured model (SAM) that uses catches in the model and the forecast",NA,"MSY","Catches","Assessment","NA","demersal piscivore","Demersal","medium benthopelagic",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.56",17325,"2022-06-30T08:47:52.113+01:00"
3108,169057,"aru.27.123a4","Greater silver smelt (Argentina silus) in subareas 1, 2, and 4, and in Division 3.a (Northeast Arctic, North Sea, Skagerrak and Kattegat)",150496,"arg-123a4",2022,"Argentina silus","Greater silver smelt","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group","3.2",2021,2,2023,"Survey trends-based assessment",NA,"PA","Landings","not used","Yes in year(s) 2015, 2019","pelagic planktivore","Pelagic","medium bathydemersal",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.3",NA,"2022-09-30T12:29:40.97+01:00"
3109,169060,"aru.27.6b7-1012","Greater silver smelt (Argentina silus) in subareas 7-10 and 12, and Division 6.b (other areas)",150506,"arg-rest",2022,"Argentina silus","Greater silver smelt","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group","3.2",2021,2,2023,"Survey trends-based assessment",NA,"PA","Catches","not used","Yes in year(s) 2021","pelagic planktivore","Pelagic","medium bathydemersal",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.6",NA,"2022-09-30T12:34:06.02+01:00"
3110,169144,"mur.27.67a-ce-k89a","Striped red mullet (Mullus surmuletus) in subareas 6 and 8, and divisions 7.a-c, 7.e-k, and 9.a (North Sea, Bay of Biscay, southern Celtic Seas, and Atlantic Iberian waters)",137437,"mur-west",2022,"Mullus surmuletus","Striped red mullet","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGWIDE","Working Group on Widely Distributed Stocks","ADGWIDE","Advice Drafting Group for Widely Distributed Stocks","5.2",2020,3,2023,"no assessment",NA,"PA","Landings","not used","Yes in year(s) 2012, 2017, 2020","demersal benthivore","Demersal","medium demersal",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.29",NA,"2022-09-30T13:08:04.927+01:00"
3111,169190,"pol.27.89a","Pollack (Pollachius pollachius) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)",136631,"pol-89a",2022,"Pollachius pollachius","Pollack","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGBIE","Working Group for the Bay of Biscay and the Iberic Waters Ecoregion","ADGBBI","Bay of Biscay Advice Drafting Group","5.2",2021,2,2023,"no assessment",NA,"PA","Landings","Not used","Yes in year(s) 2014, 2017, 2021","demersal piscivore","Demersal","large benthopelagic",TRUE,"2022-11-01T12:32:17.67+01:00","7.3.12",NA,"2021-10-29T11:39:10.487+01:00"
3112,169191,"pol.27.67","Pollack (Pollachius pollachius) in subareas 6-7 (Celtic Seas and the English Channel) ",136632,"pol-celt",2022,"Pollachius pollachius","Pollack","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGCS","Celtic Sea Advice Drafting Group","4.12",2022,1,2023,"DCAC (Depletion-Corrected Average Catch).",NA,"PA","Catches","Not used","Yes in year(s) 2018","demersal piscivore","Demersal","large demersal",TRUE,"2022-11-01T12:32:17.67+01:00","5.3.37",17213,"2022-10-11T13:23:22.637+01:00"
3200,169142,"meg.27.8c9a","Megrim (Lepidorhombus whiffiagonis) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)",136581,"mgw-8c9a",2022,"Lepidorhombus whiffiagonis","Megrim","Bay of Biscay and the Iberian Coast Ecoregion","WGBIE","Working Group for the Bay of Biscay and the Iberic Waters Ecoregion","ADGBBI","Bay of Biscay Advice Drafting Group","1",2022,1,2023,"Age-based assessment (A4a)",NA,"MP","Catches","Yes","NA","demersal piscivore","Benthic","medium demersal",TRUE,"2022-11-01T12:32:17.67+01:00","7.3.15",17378,"2022-07-14T22:52:03.343+01:00"
3079,169140,"ldb.27.8c9a","Four-spot megrim (Lepidorhombus boscii) in divisions 8.c and 9.a (southern Bay of Biscay and Atlantic Iberian waters East)",136579,"mgb-8c9a",2022,"Lepidorhombus boscii","Four-spot megrim","Bay of Biscay and the Iberian Coast Ecoregion","WGBIE","Working Group for the Bay of Biscay and the Iberic Waters Ecoregion","ADGBBI","Bay of Biscay Advice Drafting Group","1",2022,1,2023,"A4a statistical catch at age",NA,"MP","Catches","Assessment","NA","demersal piscivore","Benthic","medium bathydemersal",TRUE,"2022-11-01T12:32:17.67+01:00","7.3.7",17379,"2022-07-14T22:55:32.947+01:00"
3080,169166,"nep.fu.5","Norway lobster (Nephrops norvegicus) in divisions 4.b and 4.c, Functional Unit 5 (central and southern North Sea, Botney Cut-Silver Pit)",136606,"nep-5",2022,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","4.14",2020,2,2022,"Data-limited approach for Nephrops",NA,"PA","Catches","no","Yes in year(s) 2020","crustacean","Crustacean","crustacean",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.18",NA,"2021-05-12T14:18:21.55+01:00"
3081,169167,"nep.fu.6","Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 6 (central North Sea, Farn Deeps)",136607,"nep-6",2022,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","1",2021,1,2022,"Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data",NA,"FMSY Ranges","Catches","Assessment","NA","crustacean","Crustacean","crustacean",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.19",NA,"2021-11-16T09:46:28.333+01:00"
3082,169052,"ane.27.9a","Anchovy (Engraulis encrasicolus) in Division 9.a (Atlantic Iberian waters)",136485,"ane-pore",2022,"Engraulis encrasicolus","Anchovy","Bay of Biscay and the Iberian Coast Ecoregion","WGHANSA","Working Group on Southern Horse Mackerel, Anchovy, and Sardine","ADGHANSA","Advice Drafting Grouy on Southern horse mackerel, anchovy, sardine","3",2022,1,2023,"Gadget model used for trends only",NA,"PA","Catches","used","No","pelagic planktivore","Pelagic","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","",17358,"2022-09-30T13:11:30.41+01:00"
3083,169124,"her.27.28","Herring (Clupea harengus) in Subdivision 28.1 (Gulf of Riga)",136561,"her-riga",2022,"Clupea harengus","Herring","Baltic Sea Ecoregion","WGBFAS","Baltic Fisheries Assessment Working Group","ADGBS","Baltic Sea Advice Drafting Group","1",2022,1,2023,"Age-structured model (XSA)",NA,"MP","Catches","not used","NA","pelagic planktivore","Pelagic","medium pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","",16967,"2022-09-16T10:11:01.05+01:00"
3084,169229,"rju.27.8ab","Undulate ray (Raja undulata) in divisions 8.a-b (northern and central Bay of Biscay)",140779,"rju-8ab",2022,"Raja undulata","Undulate ray","Bay of Biscay and the Iberian Coast Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","6",2022,2,2024,"no assessment",NA,"PA","Catches","DCmap on-board observation programme used in the advice","Yes in year(s) 2018","demersal omnivore","Elasmobranch","large rays",TRUE,"2022-11-01T12:32:17.67+01:00","7.3.27",17425,"2022-10-13T10:20:37.97+01:00"
3085,169128,"hom.27.3a4bc7d","Horse mackerel (Trachurus trachurus) in divisions 3.a, 4.b-c, and 7.d (Skagerrak and Kattegat, southern and central North Sea, eastern English Channel)",136566,"hom-nsea",2022,"Trachurus trachurus","Horse mackerel","Greater North Sea Ecoregion","WGWIDE","Working Group on Widely Distributed Stocks","ADGWIDE","Advice Drafting Group for Widely Distributed Stocks","3.2",2021,2,2023,"no assessment",NA,"PA","Catches","Advice","Yes in year(s) 2014, 2017, 2021","pelagic piscivore","Pelagic","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.7",NA,"2022-09-30T13:05:11.97+01:00"
3086,169130,"hom.27.2a4a5b6a7a-ce-k8","Horse mackerel (Trachurus trachurus) in Subarea 8 and divisions 2.a, 4.a, 5.b, 6.a, 7.a-c,e-k (the Northeast Atlantic)",136568,"hom-west",2022,"Trachurus trachurus","Horse mackerel","Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGWIDE","Working Group on Widely Distributed Stocks","ADGWIDE","Advice Drafting Group for Widely Distributed Stocks","1",2022,1,2023,"SS3",NA,"MSY","Catches","not used","NA","pelagic piscivore","Pelagic","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.24",17517,"2022-09-30T13:04:58.867+01:00"
3198,169193,"por.27.nea","Porbeagle (Lamna nasus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",136634,"por-nea",2022,"Lamna nasus","Porbeagle","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","2",2022,2,2024,"SPiCT",NA,"MSY","Catches","Not used","NA","pelagic piscivore","Elasmobranch","large pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.30",17402,"2022-10-10T13:23:40.26+01:00"
